    VersionID HFSS2023
    NumberFrequencies 1
    NumberMeshes 1
    Frequency 2700000000.000000
    MeshAssemblyIndex -1
    Success 1
    SolverName Nondomain
    IterativeSolver 0
    DistributedSolver 0
    Precision 1
    NumTasks 1
    NumTets 4993
    BasisOrder 1
    TREECOTREE 0
    MemoryMasterMB 228.000000
    MemoryTotalMB 404.449219
    NumMeshStatisticsTets 4993
    MemoryForSMatrixOnlyMB -1.000000
    LowFrequencyCutoff 2245075.821156
    MemoryDistributedTotalMB -1.000000
    MemoryDistributedSMatrixOnlyMB -1.000000
    MemoryTotalAccurate 1
    MemorySMatrixOnlyAccurate 0
    MemoryDistributedTotalAccurate 0
    MemoryDistributedSMatrixOnlyAccurate 0
    SingularMatrix 0
    NumCores 1
    NumKrylovVectors -1
    MatrixSize 33949
    TotalModes 1
    NnzGrowthFactor 10.402130
